variety;corpus;form;offense_type;face_affected;face_orientation
MX;PRESEEA;disculpar;inappropriate_behavior;positive;speaker
MX;PRESEEA;disculpar;lack_consideration;positive;hearer
MX;PRESEEA;disculpar;censored_language;positive;speaker
MX;PRESEEA;disculpar;temporal_territory;negative;hearer
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;disculpar;interruption;negative;hearer
MX;PRESEEA;disculpar;interruption;negative;hearer
MX;PRESEEA;disculpar;criticism_disagreement;positive;hearer
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;disculpar;lack_consideration;positive;hearer
MX;PRESEEA;disculpar;lack_consideration;positive;hearer
MX;PRESEEA;disculpar;obstruction_plans;negative;hearer
MX;PRESEEA;disculpar;interruption;negative;hearer
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;inappropriate_behavior;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;obstruction_plans;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;spatial_territory;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;criticism_disagreement;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;criticism_disagreement;positive;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
