ID,Vocab,ItemID,L2Frequency,Alphabet,Syllables,L1Frequency,familiarity,mora,WordLength,Condition,Word,Test,Answer
3,5699,azalea,450,6,3,230,5.812,3,3,L2L1,A,L1 Production,1
3,5699,berth ,1851,5,1,245,5.531,4,4,L2L1,A,L1 Production,1
3,5699,billow,231,6,2,362,5.156,4,4,L2L1,A,L1 Production,0
3,5699,bluff,2695,5,1,168,5.281,4,4,L2L1,A,L1 Production,0
3,5699,camphor,151,7,2,162,3.938,4,4,L2L1,A,L1 Production,0
3,5699,cistern,281,7,3,1206,5.406,4,4,L2L1,A,L1 Production,0
3,5699,citadel,1310,7,3,276,4.156,3,3,L2L1,A,L1 Production,0
3,5699,fracas,257,6,2,2090,5.656,3,3,L2L1,A,L1 Production,1
3,5699,fuselage,800,8,3,843,5.312,4,4,L2L1,A,L1 Production,0
3,5699,loach,51,5,1,274,6,3,4,L2L1,A,L1 Production,0
3,5699,otter,943,5,2,177,5.438,4,4,L2L1,A,L1 Production,1
3,5699,pail,809,4,1,639,6.219,3,3,L2L1,A,L1 Production,0
3,5699,plateau,2598,7,2,1204,5.875,4,4,L2L1,A,L1 Production,1
3,5699,plumage ,469,7,2,1233,5.969,2,2,L2L1,A,L1 Production,0
3,5699,rudder,700,6,2,259,4.375,2,2,L2L1,A,L1 Production,1
3,5699,shoal,361,5,1,246,4.812,3,3,L2L1,A,L1 Production,1
3,5699,strait ,2184,6,1,912,5.469,4,5,L2L1,A,L1 Production,1
3,5699,tuberculosis,2884,12,5,1745,5.531,4,4,L2L1,A,L1 Production,1
3,5699,tympanum,59,8,3,189,5.312,3,3,L2L1,A,L1 Production,0
3,5699,alcove ,932,6,2,178,5.531,4,4,L1L2,B,L1 Production,0
3,5699,badger,818,6,2,6,3.938,4,4,L1L2,B,L1 Production,1
3,5699,diaphragm ,872,9,3,25,4.406,6,6,L1L2,B,L1 Production,1
3,5699,estuary,738,7,2,863,5.344,3,3,L1L2,B,L1 Production,0
3,5699,kiln,615,4,1,5109,4.812,1,1,L1L2,B,L1 Production,0
3,5699,levee,1159,5,2,1428,5.375,4,4,L1L2,B,L1 Production,0
3,5699,mane,1278,4,1,33,5.406,4,4,L1L2,B,L1 Production,1
3,5699,mirth,455,5,1,426,5.594,3,3,L1L2,B,L1 Production,1
3,5699,ore,3930,3,1,358,4.844,4,4,L1L2,B,L1 Production,0
3,5699,pall,670,4,1,133,3.719,3,3,L1L2,B,L1 Production,1
3,5699,parable,1063,7,3,189,5,2,2,L1L2,B,L1 Production,0
3,5699,porcupine,479,9,3,10,4.906,5,5,L1L2,B,L1 Production,0
3,5699,potassium,1517,9,3,177,5.031,4,4,L1L2,B,L1 Production,1
3,5699,quail,1571,5,1,68,5.719,3,3,L1L2,B,L1 Production,0
3,5699,ravine,1296,6,2,473,5.219,4,4,L1L2,B,L1 Production,1
3,5699,rectum ,327,6,2,319,5,4,6,L1L2,B,L1 Production,0
3,5699,scowl,1020,5,1,36,5.406,6,6,L1L2,B,L1 Production,0
3,5699,sentry,628,6,2,654,5.906,3,5,L1L2,B,L1 Production,1
3,5699,toupee,200,6,2,440,6.375,3,3,L1L2,B,L1 Production,1
3,5699,weasel,876,6,2,170,5.75,3,3,L1L2,B,L1 Production,0
11,3900,alcove ,932,6,2,178,5.531,4,4,L1L2,B,L1 Production,1
11,3900,badger,818,6,2,6,3.938,4,4,L1L2,B,L1 Production,1
11,3900,diaphragm ,872,9,3,25,4.406,6,6,L1L2,B,L1 Production,0
11,3900,estuary,738,7,2,863,5.344,3,3,L1L2,B,L1 Production,0
11,3900,kiln,615,4,1,5109,4.812,1,1,L1L2,B,L1 Production,0
11,3900,levee,1159,5,2,1428,5.375,4,4,L1L2,B,L1 Production,0
11,3900,mane,1278,4,1,33,5.406,4,4,L1L2,B,L1 Production,0
11,3900,mirth,455,5,1,426,5.594,3,3,L1L2,B,L1 Production,0
11,3900,ore,3930,3,1,358,4.844,4,4,L1L2,B,L1 Production,1
11,3900,pall,670,4,1,133,3.719,3,3,L1L2,B,L1 Production,1
11,3900,parable,1063,7,3,189,5,2,2,L1L2,B,L1 Production,1
