,Azalea,Berth,Billow,Bluff,Camphor,Cistern,Citadel,Fracas,Fuselage,Insurgent,Loach,Otter,Pail,Plateau,Plumage,Rudder,Shoal,Strait,Tuberculosis,Tympanum
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
3,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0
4,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1
5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
6,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1
7,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1
10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
11,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0
13,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
14,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0
15,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1
16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
17,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
18,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
19,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
20,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1
21,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
22,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
24,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0
25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
27,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
28,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1
