,azalea,berth,billow,bluff,camphor,cistern,citadel,fracas,fuselage,insurgent,Loach,otter,pail,plateau,plumage,rudder,shoal,strait,tuberculosis,tympanum
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0
3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1
6,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
7,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
11,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
12,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0
13,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
14,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
19,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
20,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0
22,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
23,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1
24,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
