,Alcove,Badger,Diaphragm,Estuary,Kiln,Levee,Mane,Mirth,Ore,Pall,Parable,Porpupine,Potassium,Quail,Ravine,Rectum,Scowl,Sentry,Toupee,Weasel
1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1
3,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0
4,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
5,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0
7,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0
8,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
9,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
10,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
11,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0
12,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1
13,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0
14,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
15,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1
16,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0
17,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
18,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
19,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
20,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0
22,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
23,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
24,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0
25,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0
26,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
27,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
28,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
