ID;L3;Years of L3;Gender;L3 selfasses;L3 grade;L2 selfasses;L2 grade;V2Non-SU-I-1;V2Non-SU-I-2 ;V2Non-SU-I-3;V2Non-SU-I-4;V2Non-SU-I-5;V2Non-SU-I-6;V2SU-I-1 ;V2SU-I-2;V2SU-I-3;V2SU-I-4;V2SU-I-5;V2SU-I-6;V3Non-SU-I-1;V3Non-SU-I-2;V3Non-SU-I-3;V3Non-SU-I-4;V3Non-SU-I-5;V3Non-SU-I-6;V3SU-I-1;V3SU-I-2;V3SU-I-3;V3SU-I-4;V3SU-I-5;V3SU-I-6
RÅSD034;1;2;2;3;3;4,5;4;1;1;1;1;1;4;1;2;1;1;3;1;4;3;3;3;2;2;4;3;3;2;3;1
RRAØ971;1;2;1;3,5;3;5,5;5;2;1;1;3;1;1;2;2;1;1;2;2;2;2;2;2;3;3;2;3;2;2;3;3
VHEA895;1;2;1;2;3;5;5;1;1;1;1;1;1;2;2;2;2;3;1;4;4;4;4;4;3;4;3;3;3;3;4
BMAI281;1;2;1;1;3;6;5;2;1;1;1;;2;4;4;3;3;2;3;4;3;4;4;;3;4;1;3;4;4;3
VEVR828;1;2;1;2;3;5;4;2;2;2;1;2;2;2;2;2;2;2;2;4;4;4;4;4;3;4;4;4;4;4;2
NINO217;1;2;1;2;3;6;4;1;1;2;1;1;2;1;1;1;2;3;1;2;3;3;3;4;3;4;2;3;4;4;4
NNIM409;1;2;2;3;3;4,5;4;1;1;1;1;1;1;1;1;1;1;1;1;2;4;2;2;4;3;4;3;4;3;4;3
CMAO812;1;2;1;2;4;5;5;1;1;1;1;2;1;4;2;2;3;3;3;3;4;4;3;4;3;4;4;3;3;4;4
CAND148;1;2;2;1;3;4;4;1;2;2;2;1;1;3;2;2;2;4;3;3;4;4;2;4;4;4;4;4;4;4;3
VANA426;1;2;2;1,5;5;3,5;4;1;2;2;2;2;1;3;2;2;3;2;3;3;4;3;4;3;3;4;3;3;3;4;3
KSIA129;1;2;1;3;4;6;5;1;1;1;1;2;2;2;2;2;4;3;1;2;4;3;3;3;2;4;2;3;4;3;3
SGUT433;1;4;2;1;4;3;4;1;1;1;1;1;3;1;1;2;1;3;2;2;2;2;4;2;3;4;1;3;4;4;2
LVEL390;1;4;1;2;4;5;6;2;2;1;2;1;2;2;1;1;2;1;2;3;4;4;4;4;4;3;1;4;4;4;4
VVUA280;1;2;2;2;4;5;4;2;1;2;1;1;1;2;1;1;1;2;1;2;4;3;3;2;3;3;2;4;4;4;2
BGUA955;1;4;2;2;4;4;4;1;2;1;1;1;1;2;1;1;1;2;2;4;4;4;4;4;4;4;1;3;3;4;4
BRUN150;1;4;2;1,5;4;5,5;5;1;2;1;1;2;1;2;1;1;2;2;1;2;4;4;4;3;4;2;2;4;4;4;3
VANI383;1;4;2;2,5;4;6;6;1;1;1;1;1;1;3;1;1;1;4;2;4;4;3;3;3;4;4;4;4;4;4;3
BNIØ127;1;4;1;3;3;4;3;2;1;2;1;2;2;2;3;3;1;2;3;2;4;4;3;4;4;4;2;3;3;4;4
CHEA000;1;4;2;3;4;5;4;2;2;2;1;1;1;3;2;1;2;2;3;2;4;3;4;3;4;3;2;3;4;3;2
CBEU922;1;4;2;5;4;2;4;2;2;2;2;2;2;2;3;2;2;3;2;2;3;3;3;3;3;4;3;3;3;4;3
CKAE375;1;4;1;2;4;6;5;1;1;1;1;1;1;2,5;2;1;1;2;2;2;3;3;4;4;2;4;1;3;2;4;4
BHEA077;1;4;1;3;5;6;5;1;1;1;1;1;4;1;4;2;1;1;1;4;4;3;4;4;4;4;1;1;2;4;4
CMAA838;1;4;2;3;3;5;4;1;2;2;2;2;1;2;3;2;2;3;2;3;3;3;4;4;3;3;3;3;3;4;4
ELIA237;1;4;2;2;3;6;5;1;2;2;1;1;1;2;3;1;1;1;1;3;3;4;4;3;4;3;3;4;4;4;4
MJAR282;1;4;1;3;3;5;4;1;2;2;1;1;1;1;2;1;1;2;3;4;4;4;4;3;4;4;2;2;3;4;4
EANE406;1;4;1;2;1;3;3;2;1;1;1;1;1;2;3;2;1;2;1;3;3;3;3;4;3;3;3;3;2;3;2
SMAO785;1;4;1;2;3;6;5;1;1;1;1;1;1;1;1;1;1;1;1;4;4;3;4;4;2;4;2;3;4;4;4
SKAO011;1;4;2;3;2;5;5;1;1;1;1;1;1;2;1;1;1;1;3;3;3;4;4;4;3;4;2;4;3;4;4
SHIA908;1;4;2;3;6;6;6;1;1;1;1;1;2;1;2;2;2;3;2;4;4;3;4;3;3;3;3;3;4;4;4
SINM963;1;4;1;2;2;6;5;1;1;1;1;1;1;3;2;1;1;3;1;1;3;2;3;4;2;4;2;3;3;4;3
UMAA011;1;4;2;2;2;5;4,5;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;3;4;1;4;4;4;4
UBEA740;1;4;2;2;2;6;5;2;1;1;1;1;1;1;2;2;2;2;2;3;4;4;4;4;4;4;2;4;4;4;4
BMÅR525;1;4;1;2;2;5;5;1;2;2;4;2;3;3;3;3;3;2;2;3;4;3;4;4;3;4;1;4;3;4;4
SMOE545;1;4;1;3;2;6;5;1;2;1;2;2;4;1;2;1;4;2;2;2;3;3;3;3;3;3;1;3;3;4;3
ÅANR123;1;4;1;3;4;5;5;1;2;1;1;1;1;2;2;2;2;3;3;3;4;4;4;4;4;4;2;4;4;4;4
KELA018;1;4;2;1,5;2;5,5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;4;1;3;3;3;2
SELH184;1;4;1;1;1;6;5;1;1;1;1;1;1;1;1;1;2;1;1;3;4;3;3;3;3;4;1;4;4;4;4
SANI222;1;4;2;5;5;5;5;2;2;2;1;2;2;3;3;3;3;3;4;3;4;2;4;3;4;4;4;3;3;4;4
ÅHEN901;1;4;2;3;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;3;4;3;4;3;4;4;4;3
BCHM505;1;4;2;3;5;5;5;1;2;1;2;1;2;2;2;2;1;2;2;3;4;3;4;3;4;4;3;4;4;4;4
BANA204;1;4;1;2;2;5;4;2;2;1;1;4;;2;2;2;1;1;2;4;4;4;4;4;4;4;2;4;3;4;
BHEO081;1;4;2;3;5;6;5;1;1;1;2;1;2;1;2;1;1;1;2;2;4;3;3;3;4;3;3;3;3;4;4
SANK046;1;4;1;1;2;5;4;1;2;1;2;2;2;2;2;2;2;2;2;3;4;;3;3;2;4;;3;4;4;2
