Participant,Gender,Occupation,OccupGroup,NativeLg,OtherLgs,EdNative,EdUK,Age,EduYrsNat,EduYrsEng,EduTotal,FirstExp,Arrival,LoR,EngWork,EngPrivate,ReadEng1,ReadOth1,ReadEng2,ReadOth2,ReadEng3,ReadOth3,ReadEng,ReadOth,Active,ObjCl,ObjRel,Passive,Postmod,Q.has,Q.is,Locative,SubCl,SubRel,GrammarR,Grammar,VocabR,Vocab,CollocR,Colloc,Blocks,ART,LgAnalysis,UseEngC
220,F,Student,PS,Lithuanian,Latvian and russian,High School,1st year student,20,13,0,13,NA,17,3,5,5,5,1,5,0,2,0,12,1,6,7,5,5,7,8,5,7,4,6,60,50,44,64.44444444,27,59.375,21,1,14,2.376231192
244,f,student,PS,polish,english at school,Diploma (4 years),University 4th year,22,12,4,16,NA,18,3,5,4,4,2,4,1,2,2,10,5,3,4,5,5,6,5,2,4,4,7,45,12.5,39,53.33333333,9,3.125,21,9,14,3.416512889
46,F,Cleaner,M,Polish,"English, German",College,,22,14,0,14,7,19,3,4,1,3,5,3,5,0,1,6,11,7,8,8,8,8,7,4,8,8,8,74,85,32,37.77777778,8,0,21,22,3,-2.421181333
221,F,Student,PS,Italian,No,High School,College ESL course,23,12,2,14,NA,19,3,5,3,4,1,3,0,2,3,9,4,8,7,8,8,8,7,8,8,8,8,78,95,52,82.22222222,29,65.625,20,0,15,1.442015582
222,M,Student,PS,Lituanian,Russian and English,High School,2nd year university,22,15,1,16,3,19,3,5,2,5,4,3,1,1,2,9,7,8,8,8,7,8,8,8,8,8,8,79,97.5,44,64.44444444,24,50,10,7,8,0.276241345
230,F,student,PS,Polish,english at school,High school and baccaleureate,University (1st year),22,15,1,16,3,19,3,5,3,4,4,2,2,1,2,7,8,7,8,8,8,8,6,8,8,8,8,77,92.5,31,35.55555556,18,31.25,23,23,15,0.370784026
247,F,student,PS,Polish,a little italian,bacherlors degree (4 years),none,23,16,0,16,7,20,3,1,1,0,0,1,0,3,5,4,5,6,2,6,1,5,7,4,3,4,4,42,5,30,33.33333333,3,-15.625,10,31,12,-5.178567246
237,F,self employed,PS,Polish,"German, ukrainian at home",masters degree,4 week accounting course,32,10,0,10,NA,22,3,3,3,1,1,1,1,2,3,4,5,8,7,8,8,8,7,8,8,8,8,78,95,39,53.33333333,14,18.75,19,4,12,-2.451201977
243,f,Intern,PS,Spanish,no,University,none,25,15,0,15,NA,22,3,4,2,3,1,3,1,3,3,9,5,5,4,4,4,6,5,4,5,4,4,45,12.5,37,48.88888889,5,-9.375,18,9,14,-1.014096216
213,F,student,PS,french,none,masters,phd ongoing,26,14,5,19,4,23,3,5,2,5,1,5,1,2,2,12,4,8,8,8,8,8,8,8,8,8,8,80,100,50,77.77777778,23,46.875,26,18,15,3.248625135
236,F,barmaid,M,Polish,no,masters degree,no,26,17,0,17,5,24,3,5,3,2,3,2,3,3,2,7,8,8,7,8,8,7,8,7,8,8,8,77,92.5,39,53.33333333,13,15.625,22,8,11,-0.175430556
201,F,Data entry,C,Spanish,English and Itlian,BA,none,39,15,0,15,3,25,3,5,4,4,3,4,3,2,1,10,7,6,7,3,5,3,3,5,4,4,4,44,10,46,68.88888889,14,18.75,22,35,11,1.231654562
233,F,inventory taker,C,Polish,English and Russian at school,Administration,College ongoing,29,12,0,12,6,26,3,4,1,1,0,1,2,2,2,4,4,8,8,5,6,5,5,8,8,8,8,69,72.5,34,42.22222222,7,-3.125,10,14,1,-2.946198308
234,M,factory worker,M,Polish,English at school,IT,no,29,16,1,17,5,26,3,4,1,1,1,1,2,2,2,4,5,8,8,6,5,5,1,8,8,8,8,65,62.5,34,42.22222222,14,18.75,13,14,9,-2.399983726
19,F,Cleaner,M,Polish,None,High School; College (Masseuse course),ESOL (speaking and listening),31,13,0,13,16,28,3,3,1,2,1,1,1,2,2,5,4,8,8,8,8,8,6,7,8,6,7,74,85,40,55.55555556,14,18.75,15,5,6,-3.4278128
232,F,Horticultarist,M,Polish,german/french,high school,no,31,12,1,13,13,28,3,5,4,5,3,2,0,1,2,8,5,8,4,5,8,4,8,8,8,8,7,68,70,32,37.77777778,8,0,21,14,1,1.252852169
223,M,Product Operative,M,Polish,No,Bachelors degree,College (functional English),33,17,2,19,14,30,3,3,1,5,0,5,0,2,0,12,0,8,8,8,8,8,7,7,8,8,7,77,92.5,49,75.55555556,9,3.125,14,9,14,-0.497824225
226,M,Product Operative,M,Polish,no,high school,"Action language (1 year, no qualifications)",47,17,0,17,24,44,3,1,1,0,0,0,0,0,0,0,0,8,4,4,7,3,7,5,8,7,4,57,42.5,26,24.44444444,9,3.125,16,11,8,-6.228601195
228,F,Product Operative,M,Polish,no,high school,"Action language (1 year, no qualifications)",48,12,2,14,24,45,3,1,1,0,2,0,0,0,3,0,5,7,1,7,5,3,5,3,6,3,5,45,12.5,38,51.11111111,8,0,19,12,5,-5.136172032
304,F,Cashier,M,Mandarin/ Cantonese,English,1982-1985 degree in accounting in Radio and Tv Univerisity of Guangzhou,2014-? taking the course of TESL (E1) in Newcastle College,52,15,0,15,1,49,3,2,2,1,3,1,3,3,3,5,9,7,1,0,1,1,2,7,8,7,7,41,2.5,13,-4.444444444,10,6.25,11,0,2,-3.552376124
245,f,student,PS,polish,parients occasionally spoke russian and school in lithuania,Secondary education in lithuania,undergrad study in newcastle,21,12,2,14,NA,17,4,5,5,3,2,4,2,2,1,9,5,4,4,5,4,6,5,2,5,4,3,42,5,45,66.66666667,14,18.75,20,3,3,2.681134893
54,F,Admin Assistant,C,Polish,None,Diploma,ESOL,28,14,0,14,3,23,4,5,1,4,1,5,1,2,0,11,2,8,8,8,8,8,8,8,8,7,8,79,97.5,40,55.55555556,21,40.625,20,9,12,-0.364515917
310,F,PhD candidate,PS,Mandarine Chinese,English,"2011, MA in Urban Planning and Disaster Management in Chinese Culture University",2011-2016 PhD in Urban Planning in Newcastle University,27,19,5,24,3,23,4,5,5,2,1,3,1,1,3,6,5,8,8,8,8,7,8,6,8,8,8,77,92.5,19,8.888888889,9,3.125,17,0,4,3.532253177
37,F,Student,PS,Polish,None,MA,AAT Accounting,28,17,1,18,3,24,4,5,5,3,2,4,2,2,2,9,6,8,8,8,8,7,7,8,8,8,8,78,95,38,51.11111111,26,56.25,22,14,3,2.134920312
205,F,bar staff,M,Lithuanian,Engl;ish Russian,International Baccalaureat,BA ongoing,24,12,2,14,2,19,4.5,5,4,4,1,4,1,2,1,10,3,8,8,8,8,8,8,8,8,8,8,80,100,55,88.88888889,19,34.375,24,10,13,2.324083725
235,F,care worker,M,Polish,no,high school and university,Msc (1st year),28,17,0,17,7,22,5,5,4,1,1,1,1,1,2,3,4,8,7,6,5,7,6,4,8,6,5,62,55,47,71.11111111,11,9.375,15,6,15,-0.60590485
53,M,Driver,M,Polish,None,Diploma,ESOL,28,14,0,14,7,23,5,3,1,1,1,1,0,0,0,2,1,8,8,7,8,8,0,8,8,8,8,71,77.5,37,48.88888889,11,9.375,23,4,6,-4.215338262
16,F,After School Club Assistant,M,Polish,"English, German",A level,MA Applied Linguistics,31,17,2,19,4,26,5,5,3,1,1,1,1,3,0,5,2,8,8,8,8,8,8,7,7,8,8,78,95,47,71.11111111,18,31.25,16,17,13,0.391981633
