AUX	Century	INF	Class
lanzar	21	llevar	Desplazamiento
echar	21	dormir	Fisiología
lanzar	21	probar	Disposición
tirar	21	atacar	Competición
lanzar	21	hacer	Verbos de apoyo
lanzar	21	estudiar	Conocimiento
lanzar	21	hacer	Creación
lanzar	21	teorizar	Conocimiento
echar	21	llorar	Fisiología
tirar	21	nadar	Desplazamiento
tirar	21	felicitar	Valoración
echar	21	temblar	Manera Movimiento
echar	21	reír	Fisiología
echar	21	temblar	Manera Movimiento
lanzar	21	perseguir	Desplazamiento
lanzar	21	vivir	Vida
lanzar	21	comerciar	Actividad
echar	21	andar	Desplazamiento
lanzar	21	declarar	Comunicación
echar	21	andar	Desplazamiento
echar	21	reír	Fisiología
lanzar	21	escribir	Comunicación
echar	21	andar	Desplazamiento
lanzar	21	crear	Creación
lanzar	21	correr	Desplazamiento
lanzar	21	pedir	Petición
echar	21	andar	Uso
lanzar	21	vender	Transferencia
tirar	21	nadar	Desplazamiento
lanzar	21	endurecer	Modificación
echar	21	volar	Desplazamiento
echar	21	correr	Desplazamiento
lanzar	21	consumir	Consumo
tirar	21	bucear	Desplazamiento
echar	21	rodar	Desplazamiento
lanzar	21	contar	Comunicación
echar	21	caminar	Desplazamiento
lanzar	21	trabajar	Actividad
tirar	21	comer	Ingestión
echar	21	rodar	Desplazamiento
lanzar	21	emprender	Fase
echar	21	andar	Uso
lanzar	21	pedir	Petición
echar	21	volar	Desplazamiento
lanzar	21	protestar	Comunicación
echar	21	andar	Uso
lanzar	21	construir	Creación
echar	21	andar	Desplazamiento
lanzar	21	escribir	Comunicación
echar	21	rodar	Desplazamiento
lanzar	21	montar	Creación
lanzar	21	emprender	Fase
echar	21	reír	Fisiología
echar	21	temblar	Manera Movimiento
lanzar	21	hacer	Creación
lanzar	21	recordar	Conocimiento
echar	21	temblar	Manera Movimiento
arrojar	21	comprar	Adquisición
lanzar	21	intentar	Disposición
echar	21	andar	Uso
lanzar	21	admirar	Sensación
lanzar	21	aprovechar	Uso
lanzar	21	probar	Disposición
lanzar	21	fraguarse	Creencia
echar	21	andar	Desplazamiento
echar	21	reír	Fisiología
echar	21	reír	Fisiología
echar	21	temblar	Manera Movimiento
lanzar	21	vender	Transferencia
echar	21	rodar	Desplazamiento
tirar	21	hacer	Verbos de apoyo
echar	21	volar	Desplazamiento
echar	21	reír	Fisiología
lanzar	21	crear	Creación
lanzar	21	decir	Comunicación
echar	21	reír	Fisiología
echar	21	correr	Desplazamiento
lanzar	21	hacer	Creación
lanzar	21	comprar	Adquisición
echar	21	andar	Uso
lanzar	21	escribir	Comunicación
echar	21	temblar	Manera Movimiento
lanzar	21	escoger	Elección
tirar	21	nadar	Desplazamiento
echar	21	andar	Uso
echar	21	rodar	Desplazamiento
echar	21	rodar	Desplazamiento
arrojar	21	cruzar	Desplazamiento
tirar	21	llorar	Fisiología
echar	21	rodar	Cambio
echar	21	andar	Desplazamiento
lanzar	21	realizar	Actividad
lanzar	21	explorar	Percepción
lanzar	21	probar	Disposición
lanzar	21	coronar	Localización
echar	21	rodar	Desplazamiento
echar	21	rodar	Desplazamiento
lanzar	21	mejorar	Modificación
echar	21	llorar	Fisiología
echar	21	correr	Desplazamiento
lanzar	21	tratar	Disposición
echar	21	andar	Desplazamiento
echar	21	temblar	Manera Movimiento
lanzar	21	cantar	Emisión de sonido
lanzar	21	comprar	Adquisición
lanzar	21	producir	Creación
lanzar	21	participar	Actividad
