language	subject	disambiguation	item	crit1	crit2	crit3	AoO	age
F	f1	1	1	-1.084662397	-0.500898236	-1.584962501	13.00	21.00
F	f1	2	2	-1.584962501	-1.056902391	-1.584962501	13.00	21.00
F	f1	1	3	-0.67211445	-1.27601226	-0.958580073	13.00	21.00
F	f1	2	4	-0.605721061	-0.561878888	-1.103622631	13.00	21.00
F	f1	1	5	0.355658952	-1.584962501	0.874469118	13.00	21.00
F	f1	2	6	-0.817939673	1.184424571	-1.418713157	13.00	21.00
F	f1	1	7	1.584962501	0.442518236	1.584962501	13.00	21.00
F	f1	2	8	0.289506617	-0.199308808	0.312384322	13.00	21.00
F	f1	1	9	0.61667136	-1.060541542	0.77909107	13.00	21.00
F	f1	2	10	0.087462841	-1.584962501	0.637429921	13.00	21.00
F	f1	1	11	0.465663572	0.992386816	0.046542586	13.00	21.00
F	f1	2	12	0.628031223	-0.165059246	0.803308089	13.00	21.00
F	f1	1	13	0.500898236	0.308631272	0.03355256	13.00	21.00
F	f1	2	14	-0.470220415	0.225881407	-1.584962501	13.00	21.00
F	f1	1	15	1.584962501	0.810029056	1.584962501	13.00	21.00
F	f1	2	16	0.164535772	-0.125530882	0.847996907	13.00	21.00
F	f10	1	1	-1.584962501	1.253756592	-1.584962501	11.00	24.00
F	f10	2	2	-0.724765141	0.104588901	-1.222392421	11.00	24.00
F	f10	1	3	1.085391491	0.131244533	1.584962501	11.00	24.00
F	f10	2	4	0.723938914	-0.206450877	1.028569152	11.00	24.00
F	f10	1	5	0.430634354	1.584962501	-0.327164743	11.00	24.00
F	f10	2	6	1.372809264	1.584962501	1.584962501	11.00	24.00
F	f10	1	7	1.584962501	1.584962501	1.584962501	11.00	24.00
F	f10	2	8	0.561878888	0.823122238	0.751501687	11.00	24.00
F	f10	1	9	-0.180572246	1.448273829	0.362570079	11.00	24.00
F	f10	2	10	0.671377253	1.584962501	0.277109591	11.00	24.00
F	f10	1	11	0.485426827	1.008082346	1.017487427	11.00	24.00
F	f10	2	12	1.584962501	1.584962501	1.584962501	11.00	24.00
F	f10	1	13	0.558490289	1.584962501	0.065588342	11.00	24.00
F	f10	2	14	1.584962501	0.485426827	1.584962501	11.00	24.00
F	f10	1	15	0.932885804	1.584962501	1.264827688	11.00	24.00
F	f10	2	16	-0.316332632	0.334419039	-0.517399217	11.00	24.00
F	f11	1	1	0.515920856	-0.736965594	0.362570079	10.00	20.00
F	f11	2	2	0.338168736	-0.635235707	1.054447784	10.00	20.00
F	f11	1	3	-1.584962501	0.95981091	-1.584962501	10.00	20.00
F	f11	2	4	1.584962501	-1.584962501	1.584962501	10.00	20.00
F	f11	1	5	0.055495113	1.584962501	-0.712197689	10.00	20.00
F	f11	2	6	1.584962501	0.252542032	1.584962501	10.00	20.00
F	f11	1	7	0.40053793	-0.334419039	0.602664502	10.00	20.00
F	f11	2	8	1.071790683	1.584962501	0.843598443	10.00	20.00
F	f11	1	9	1.137503524	0.325240829	1.216575095	10.00	20.00
F	f11	2	10	1.584962501	1.346450414	1.584962501	10.00	20.00
F	f11	1	11	-0.561878888	-0.150866666	-0.961525852	10.00	20.00
F	f11	2	12	-0.804869659	0.457206954	-1.584962501	10.00	20.00
F	f11	1	13	1.430928872	0.712197689	1.584962501	10.00	20.00
F	f11	2	14	1.584962501	-1.196065139	1.584962501	10.00	20.00
F	f11	1	15	-0.497958459	1.443234391	-0.657894023	10.00	20.00
F	f11	2	16	1.584962501	1.105353	1.584962501	10.00	20.00
F	f12	2	1	0.713695815	0.535037275	0.485426827	10.00	20.00
F	f12	1	2	-0.628031223	0.854802084	-1.584962501	10.00	20.00
F	f12	2	3	-1.584962501	-0.955877447	-1.584962501	10.00	20.00
F	f12	1	4	-1.584962501	-0.654671473	-1.584962501	10.00	20.00
F	f12	2	5	-0.228268988	1.119298928	-0.341036918	10.00	20.00
F	f12	1	6	-0.090197809	-0.280107919	-0.224873411	10.00	20.00
F	f12	2	7	-0.574236094	-0.30718151	-0.9510904	10.00	20.00
F	f12	1	8	0.528549192	1.584962501	0.754089772	10.00	20.00
F	f12	2	9	-0.281412935	1.584962501	-0.114559764	10.00	20.00
F	f12	1	10	0.146486088	0.580193257	0.120294234	10.00	20.00
F	f12	2	11	1.584962501	0.515920856	1.584962501	10.00	20.00
F	f12	1	12	-0.971618199	1.372809264	-1.584962501	10.00	20.00
F	f12	2	13	1.243925583	-0.379493382	1.584962501	10.00	20.00
F	f12	1	14	0.565597176	1.584962501	0.105610188	10.00	20.00
F	f12	2	15	0.588866955	1.584962501	0.258311996	10.00	20.00
F	f12	1	16	-0.164535772	1.584962501	-0.750480401	10.00	20.00
F	f13	2	1	-0.857488356	1.584962501	-1.584962501	11.00	19.00
F	f13	1	2	-0.228268988	1.584962501	-0.038994132	11.00	19.00
F	f13	2	3	-0.310340121	-0.427421224	0.547487795	11.00	19.00
F	f13	1	4	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	2	5	-0.464403577	1.584962501	-0.610053482	11.00	19.00
F	f13	1	6	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	2	7	-1.197939378	0.921144579	-1.584962501	11.00	19.00
F	f13	1	8	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	2	9	-0.606988807	0.278301162	-0.946228744	11.00	19.00
F	f13	1	10	-0.321928095	-0.135351853	-0.406625259	11.00	19.00
F	f13	2	11	-0.767826558	-0.331205908	-1.584962501	11.00	19.00
F	f13	1	12	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	2	13	0	0.699245928	0.115477217	11.00	19.00
F	f13	1	14	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	2	15	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f13	1	16	1.584962501	1.584962501	1.584962501	11.00	19.00
F	f14	2	1	0.9510904	1.584962501	0.674904626	28.00	32.00
F	f14	1	2	-0.696607857	-1.070389328	-1.049468676	28.00	32.00
F	f14	2	3	-0.851677253	-1.584962501	-0.533823652	28.00	32.00
F	f14	1	4	0.325240829	0.503432615	0.267933205	28.00	32.00
F	f14	2	5	-0.231325546	1.584962501	-0.584962501	28.00	32.00
F	f14	1	6	0.682259702	1.584962501	1.184424571	28.00	32.00
F	f14	2	7	-1.584962501	0.467778961	-1.584962501	28.00	32.00
F	f14	1	8	-0.442518236	0.192645078	-0.551642428	28.00	32.00
F	f14	2	9	0.628031223	1.584962501	0.160464672	28.00	32.00
F	f14	1	10	0	-0.299560282	0.409644241	28.00	32.00
F	f14	2	11	-0.215267987	0.049753035	-0.249359469	28.00	32.00
F	f14	1	12	0.506959989	0.882348411	0.090197809	28.00	32.00
F	f14	2	13	0.2410081	-1.584962501	0.561878888	28.00	32.00
F	f14	1	14	-0.605721061	1.584962501	-0.152003093	28.00	32.00
F	f14	2	15	0.127379306	-1.584962501	0.662003536	28.00	32.00
F	f14	1	16	1.092566119	1.584962501	1.584962501	28.00	32.00
F	f15	1	1	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	2	2	1.584962501	0.02090899	1.584962501	12.00	25.00
F	f15	1	3	-0.349942471	1.584962501	-1.295455884	12.00	25.00
F	f15	2	4	1.584962501	-0.528549192	1.584962501	12.00	25.00
F	f15	1	5	1.152003093	1.584962501	1.584962501	12.00	25.00
F	f15	2	6	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	1	7	0.103093493	1.584962501	-0.652076697	12.00	25.00
F	f15	2	8	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	1	9	-0.447458977	1.584962501	-1.259386629	12.00	25.00
F	f15	2	10	-0.610053482	1.041820176	-0.852774047	12.00	25.00
F	f15	1	11	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	2	12	1.584962501	1.02358682	1.584962501	12.00	25.00
F	f15	1	13	1.584962501	-0.470220415	1.584962501	12.00	25.00
F	f15	2	14	1.584962501	0.022195746	1.584962501	12.00	25.00
F	f15	1	15	1.584962501	1.584962501	1.584962501	12.00	25.00
F	f15	2	16	0.638204522	-0.561878888	0.823122238	12.00	25.00
F	f16	2	1	-0.118319967	0.932885804	0.105610188	10.00	23.00
F	f16	1	2	-0.136204384	1.584962501	-1.346450414	10.00	23.00
F	f16	2	3	-1.154328146	0.122335543	-1.584962501	10.00	23.00
F	f16	1	4	0.106915204	1.031026896	0.736965594	10.00	23.00
F	f16	2	5	-0.144389909	-0.020319984	-0.376148486	10.00	23.00
F	f16	1	6	-0.150866666	0.925999419	-0.345135486	10.00	23.00
F	f16	2	7	0.169925001	1.028569152	0.062735755	10.00	23.00
F	f16	1	8	-0.391687012	1.584962501	-0.462971976	10.00	23.00
F	f16	2	9	-0.615519968	0.065588342	-1.584962501	10.00	23.00
F	f16	1	10	0.942119084	0.525091045	1.146078259	10.00	23.00
F	f16	2	11	1.498805857	-0.206450877	1.584962501	10.00	23.00
F	f16	1	12	-0.214124805	-1.041820176	-0.427421224	10.00	23.00
F	f16	2	13	0.062735755	-1.031942893	0.197036847	10.00	23.00
F	f16	1	14	-0.136204384	1.584962501	0.271302022	10.00	23.00
F	f16	2	15	0.099535674	0.267933205	-0.329307625	10.00	23.00
F	f16	1	16	-0.649312912	0.91753784	-1.222392421	10.00	23.00
F	f17	1	1	0.444302094	1.518236387	0.566583971	11.00	25.00
F	f17	2	2	0.29876211	-0.263034406	0.371094152	11.00	25.00
F	f17	1	3	0.334419039	1.584962501	0.461331152	11.00	25.00
F	f17	2	4	0.126633439	-0.06871275	-0.652076697	11.00	25.00
F	f17	1	5	-1.584962501	0.893084796	-1.584962501	11.00	25.00
F	f17	2	6	0.854802084	1.178337241	0.508464363	11.00	25.00
F	f17	1	7	1.158903595	-0.271302022	1.584962501	11.00	25.00
F	f17	2	8	0.438442104	0.749593202	0.680931559	11.00	25.00
F	f17	1	9	-0.787151351	1.028569152	-1.184424571	11.00	25.00
F	f17	2	10	1.584962501	1.584962501	1.584962501	11.00	25.00
F	f17	1	11	0.03355256	1.584962501	0.736965594	11.00	25.00
F	f17	2	12	-0.90442234	-0.683026787	-1.584962501	11.00	25.00
F	f17	1	13	1.154328146	-0.345135486	1.584962501	11.00	25.00
F	f17	2	14	-0.237394585	-0.470220415	-0.508464363	11.00	25.00
F	f17	1	15	0.074000581	1.584962501	-0.206450877	11.00	25.00
F	f17	2	16	0.389411692	-0.081683798	-0.049753035	11.00	25.00
