Participant,Age,Gender,Occupation,OccupGroup,OtherLgs,Education,EduTotal,ReadEng1,ReadEng2,ReadEng3,ReadEng,Active,ObjCl,ObjRel,Passive,Postmod,Q.has,Q.is,Locative,SubCl,SubRel,GrammarR,Grammar,VocabR,Vocab,CollocR,Colloc,Blocks,ART,LgAnalysis,Group,NativeLg,EdNative,EdUK,EduYrsNat,EduYrsEng,FirstExp,Arrival,LoR,EngWork,EngPrivate,ReadOth1,ReadOth2,ReadOth3,ReadOth,UseEngC,NativeLgFamily
1,21,M,Student,PS,None,3rd Year Of Ba,17,1,2,2,5,8,8,8,8,8,8,6,8,8,8,78,95,48,73.33333333,30,68.75,16,17,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,38,M,Student/Support Worker,PS,None,Nvq Iv Music Performance,13,1,2,3,6,8,8,8,8,8,8,7,8,8,8,79,97.5,58,95.55555556,35,84.375,11,31,13,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,55,M,Retired,I,None,No Formal (City And Guilds),11,3,3,4,10,8,8,8,8,8,7,8,8,8,8,79,97.5,58,95.55555556,31,71.875,5,38,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,26,F,Web Designer,PS,None,Ba Fine Art,17,3,3,3,9,8,8,8,8,8,8,8,8,8,8,80,100,53,84.44444444,37,90.625,20,26,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,55,F,Homemaker,I,None,O'levels,12,3,2,3,8,8,8,8,8,8,8,7,8,8,8,79,97.5,55,88.88888889,36,87.5,16,31,14,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,58,F,Retired,I,None,O'levels,12,1,1,2,4,8,5,1,8,8,7,6,7,8,8,66,65,48,73.33333333,21,40.625,8,15,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,31,F,Cleaner,M,None,"Gcse, Nvq3 Beauty Therapy",13,3,2,3,8,7,8,8,8,7,8,7,8,8,8,77,92.5,39,53.33333333,29,65.625,8,7,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,58,M,Roofer,M,None,No Formal (Nvq Roofing),11,2,2,3,7,8,4,8,8,7,1,8,8,8,8,68,70,48,73.33333333,33,78.125,10,10,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,42,M,Manual Worker,M,None,No Formal (Nvq Machinery),11,1,1,1,3,8,7,3,2,6,3,7,8,7,7,58,45,31,35.55555556,22,43.75,7,6,2,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,59,F,Housewife,I,None,No Formal,11,2,2,2,6,8,5,8,8,8,0,8,8,8,8,69,72.5,42,60,29,65.625,9,6,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,32,F,Admin Assistant,C,None,"Gcse, Nvq And Dispoma Business Admin",13,4,4,4,12,8,5,8,8,4,8,2,8,8,8,67,67.5,33,40,29,65.625,6,3,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,27,M,Content Editor,C,French,Ma English Literature,18,5,5,2,12,8,7,6,7,7,7,8,7,8,8,73,82.5,58,95.55555556,37,90.625,21,44,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,60,M,School Crossing Guard,M,None,"Gces, Northern Counties",12,2,2,1,5,8,7,8,8,8,4,8,8,8,7,74,85,54,86.66666667,35,84.375,13,14,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,51,F,Carer/Cleaner,M,None,No Formal,11,1,1,3,5,8,8,8,7,6,8,1,8,8,8,70,75,39,53.33333333,28,62.5,8,4,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,32,M,It Support,C,None,College,14,2,3,3,8,8,8,8,8,8,6,8,8,8,7,77,92.5,55,88.88888889,33,78.125,22,18,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,29,F,Finance Assistant,C,None,"Nvq, City And Guilds",13,5,5,3,13,8,5,5,8,7,6,8,7,8,8,70,75,36,46.66666667,23,46.875,11,4,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,41,M,Admin Officer,C,None,Gcses And Nvq,12,4,4,3,11,8,8,8,8,8,8,8,8,8,8,80,100,54,86.66666667,35,84.375,11,26,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,57,F,Housewife,I,None,Ba,17,5,5,2,12,8,8,8,8,8,2,8,8,8,8,74,85,53,84.44444444,33,78.125,15,31,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,60,F,Functions Co-Ordinator,C,None,Gce O'level,12,5,5,2,12,8,8,8,7,8,8,8,8,8,8,79,97.5,54,86.66666667,32,75,17,17,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,18,F,Student,PS,None,A Level,14,5,5,4,14,8,8,8,8,8,7,8,8,8,8,79,97.5,50,77.77777778,26,56.25,26,19,13,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,41,F,Senior Lecturer,PS,None,Phd,21,5,5,3,13,8,8,8,8,8,5,5,8,8,8,74,85,57,93.33333333,35,84.375,9,43,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,60,F,Retired,I,None,Shorthand (No Formal Qualifications),11,2,2,2,6,8,8,8,8,8,6,1,8,8,8,71,77.5,56,91.11111111,34,81.25,12,30,1,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,21,F,Nail Technician,M,None,Gcses,12,1,1,3,5,8,8,8,8,8,8,8,8,8,7,79,97.5,46,68.88888889,25,53.125,12,12,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,25,F,Human Resources,C,None,Ma,18,2,2,3,7,8,8,8,7,8,8,6,8,8,8,77,92.5,52,82.22222222,27,59.375,21,18,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,26,F,Teacher,PS,German,Ba,17,4,3,4,11,8,8,8,8,8,8,8,8,7,8,79,97.5,49,75.55555556,33,78.125,19,12,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,60,M,Boilermaker,M,None,City And Guilds,12,2,2,2,6,8,6,6,8,7,7,6,8,8,8,72,80,51,80,29,65.625,12,10,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,57,F,Clerk,C,None,Gce,12,5,5,3,13,8,8,7,8,8,5,6,8,8,8,74,85,54,86.66666667,35,84.375,10,18,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,60,M,Retired,I,None,Ba,17,3,3,2,8,8,8,8,8,8,8,0,8,8,8,72,80,55,88.88888889,33,78.125,12,17,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,52,F,Dental Nurse,M,None,College,14,2,2,2,6,8,7,8,8,7,8,8,8,8,8,78,95,49,75.55555556,30,68.75,15,9,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,25,M,Sales Assistant,C,None,Gcses,12,2,2,4,8,8,8,8,8,8,8,8,6,8,8,78,95,41,57.77777778,26,56.25,8,11,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,23,F,Unemployed,I,None,A Level,14,3,3,2,8,8,8,8,8,8,4,4,8,8,8,72,80,55,88.88888889,37,90.625,11,8,12,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,42,F,University Lecturer,PS,None,Phd,21,5,4,4,13,8,8,8,8,8,8,8,8,8,8,80,100,58,95.55555556,37,90.625,16,40,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,59,F,Retired,I,None,Gces,12,2,2,2,6,5,8,7,8,7,6,5,8,5,6,65,62.5,42,60,26,56.25,8,11,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,30,M,Unemployed,I,None,Nvq,13,4,4,4,12,8,8,8,8,8,5,8,8,8,8,77,92.5,50,77.77777778,30,68.75,15,11,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,21,F,Student,PS,None,A Level,14,2,2,1,5,8,8,8,8,8,4,8,8,7,8,75,87.5,40,55.55555556,30,68.75,15,4,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
